location_table_id,date,location,channel_location,water_temp,weather,flow,number_of_divers,reach_length,reach_width,channel_width,channel_type,river_mile,coordinate_method,latitude,longitude
212,2002-03-27,NA,NA,57,direct sunlight,1200,2,25,4,30,mainchannel,NA,assigned based on similar location,NA,NA
213,2002-03-27,NA,NA,NA,direct sunlight,1200,3,25,4,47,mainchannel,NA,assigned based on similar location,NA,NA
214,2002-03-28,NA,NA,58,direct sunlight,1200,2,25,4,47,mainchannel branch,NA,assigned based on similar location,NA,NA
215,2002-03-28,NA,NA,55,direct sunlight,1200,2,25,4,31,mainchannel branch,NA,assigned based on similar location,NA,NA
216,2002-03-28,NA,NA,66,direct sunlight,1200,2,25,4,50,mainchannel branch,NA,assigned based on similar location,NA,NA
217,2002-07-23,NA,NA,57,direct sunlight,600,3,25,4,78,mainchannel,NA,assigned based on similar location,NA,NA
218,2002-07-23,NA,NA,60.5,direct sunlight,600,1,25,4,64,mainchannel,NA,assigned based on similar location,NA,NA
220,2002-07-23,NA,NA,59,direct sunlight,600,2,25,4,0,NA,NA,assigned based on similar location,NA,NA
221,2002-07-22,NA,NA,60,direct sunlight,5500,1,25,4,96,mainchannel,NA,assigned based on similar location,NA,NA
222,2002-04-16,NA,NA,52.5,overcast,600,2,25,4,19,mainchannel,NA,assigned based on similar location,NA,NA
223,2002-04-16,NA,NA,52,precipitation,600,2,25,4,18,sidechannel,NA,assigned based on similar location,NA,NA
227,2002-04-15,NA,NA,0,overcast,2300,2,25,4,7,sidechannel,NA,assigned based on similar location,NA,NA
228,2002-04-16,NA,NA,52,overcast,600,2,25,4,20,mainchannel,NA,assigned based on similar location,NA,NA
229,2002-04-17,NA,NA,56.5,direct sunlight,600,2,25,4,20,sidechannel,NA,assigned based on similar location,NA,NA
230,2002-04-17,NA,NA,51,direct sunlight,600,2,25,4,10,sidechannel,NA,assigned based on similar location,NA,NA
231,2002-04-16,NA,NA,0,overcast,600,2,25,4,41,mainchannel,NA,assigned based on similar location,NA,NA
232,2002-04-17,NA,NA,54.5,direct sunlight,600,2,25,4,32,mainchannel,NA,assigned based on similar location,NA,NA
233,2002-04-17,NA,NA,53,direct sunlight,NA,2,25,4,19,mainchannel,NA,assigned based on similar location,NA,NA
234,2002-04-16,NA,NA,NA,overcast,600,2,25,4,49,mainchannel,NA,assigned based on similar location,NA,NA
235,2002-04-16,NA,NA,0,overcast,600,2,25,4,37,mainchannel branch,NA,assigned based on similar location,NA,NA
236,2002-04-18,NA,NA,58,overcast,1200,2,25,4,60,mainchannel,NA,assigned based on similar location,NA,NA
237,2002-04-18,NA,NA,58,direct sunlight,1200,2,25,4,41,mainchannel branch,NA,assigned based on similar location,NA,NA
238,2002-04-23,NA,NA,64,direct sunlight,1200,2,25,4,31,sidechannel,NA,assigned based on similar location,NA,NA
239,2002-08-20,NA,NA,16,direct sunlight,700,2,25,4,24,sidechannel,NA,assigned based on similar location,NA,NA
240,2002-08-20,NA,NA,19.5,direct sunlight,700,2,25,4,47,mainchannel,NA,assigned based on similar location,NA,NA
241,2002-08-20,NA,NA,17,direct sunlight,700,2,25,4,49,mainchannel,NA,assigned based on similar location,NA,NA
242,2002-08-14,NA,NA,76,direct sunlight,4500,2,25,4,72,mainchannel,NA,assigned based on similar location,NA,NA
243,2002-08-14,NA,NA,72,direct sunlight,4500,2,25,4,86,mainchannel,NA,assigned based on similar location,NA,NA
244,2002-08-14,NA,NA,66,direct sunlight,0,2,25,4,37,mainchannel branch,NA,assigned based on similar location,NA,NA
246,2002-08-19,NA,NA,57,direct sunlight,700,1,25,4,30,mainchannel branch,NA,assigned based on similar location,NA,NA
248,2002-04-23,NA,NA,63.5,direct sunlight,1200,2,25,4,26,mainchannel branch,NA,assigned based on similar location,NA,NA
249,2002-04-24,NA,NA,NA,direct sunlight,1200,2,25,4,50,mainchannel,NA,assigned based on similar location,NA,NA
250,2002-04-24,NA,NA,62,direct sunlight,1200,2,25,4,0,mainchannel branch,NA,assigned based on similar location,NA,NA
251,2002-04-24,NA,NA,54,direct sunlight,1200,1,25,4,49,mainchannel,NA,assigned based on similar location,NA,NA
252,2002-04-24,NA,NA,0,direct sunlight,1200,1,25,4,30,mainchannel branch,NA,assigned based on similar location,NA,NA
253,2002-04-24,NA,NA,0,direct sunlight,1200,1,25,4,30,mainchannel branch,NA,assigned based on similar location,NA,NA
254,2002-04-25,NA,NA,62,direct sunlight,1200,2,25,4,55,mainchannel,NA,assigned based on similar location,NA,NA
255,2002-04-25,NA,NA,62.5,overcast,1200,1,25,4,28,sidechannel,NA,assigned based on similar location,NA,NA
256,2002-04-25,NA,NA,64,direct sunlight,1200,1,25,4,46,mainchannel,NA,assigned based on similar location,NA,NA
257,2002-04-25,NA,NA,62,direct sunlight,1200,2,25,4,26,mainchannel branch,NA,assigned based on similar location,NA,NA
258,2002-05-21,NA,NA,54,overcast,600,1,25,4,16,mainchannel,NA,assigned based on similar location,NA,NA
259,2002-05-21,NA,NA,54,overcast,600,3,25,4,15,sidechannel,NA,assigned based on similar location,NA,NA
260,2002-08-20,NA,NA,19.5,direct sunlight,700,2,25,4,47,mainchannel,NA,assigned based on similar location,NA,NA
261,2002-05-22,NA,NA,58,direct sunlight,600,2,25,4,35,mainchannel,NA,assigned based on similar location,NA,NA
263,2002-05-22,NA,NA,61,direct sunlight,600,2,25,4,62,mainchannel,NA,assigned based on similar location,NA,NA
265,2002-05-23,NA,NA,57,direct sunlight,600,2,25,4,44,mainchannel,NA,assigned based on similar location,NA,NA
266,2002-05-23,NA,NA,55,direct sunlight,0,2,25,4,12,sidechannel,NA,assigned based on similar location,NA,NA
267,2002-05-23,NA,NA,61,direct sunlight,600,2,25,4,59,mainchannel,NA,assigned based on similar location,NA,NA
268,2002-05-20,NA,NA,4,overcast,650,2,25,4,13,sidechannel,NA,assigned based on similar location,NA,NA
269,2002-05-20,NA,NA,54,precipitation,4650,2,25,4,13,mainchannel branch,NA,assigned based on similar location,NA,NA
270,2002-05-20,NA,NA,54,direct sunlight,600,2,25,4,45,mainchannel,NA,assigned based on similar location,NA,NA
271,2002-05-30,NA,NA,67,direct sunlight,0,2,25,4,38,mainchannel,NA,assigned based on similar location,NA,NA
272,2002-05-30,NA,NA,67,direct sunlight,1300,2,25,4,52,mainchannel,NA,assigned based on similar location,NA,NA
273,2002-05-30,NA,NA,72,direct sunlight,1300,2,25,4,32,mainchannel,NA,assigned based on similar location,NA,NA
274,2002-05-30,NA,NA,68,direct sunlight,1300,2,25,4,63,mainchannel,NA,assigned based on similar location,NA,NA
275,2002-05-30,NA,NA,0,direct sunlight,1300,2,25,4,50,mainchannel,NA,assigned based on similar location,NA,NA
276,2002-05-30,NA,NA,0,direct sunlight,0,2,25,4,45,mainchannel,NA,assigned based on similar location,NA,NA
277,2002-05-28,NA,NA,64,direct sunlight,1300,2,25,4,37,mainchannel branch,NA,assigned based on similar location,NA,NA
278,2002-05-28,NA,NA,68,direct sunlight,0,2,25,4,39,mainchannel branch,NA,assigned based on similar location,NA,NA
279,2002-05-28,NA,NA,68,direct sunlight,0,2,25,4,120,sidechannel,NA,assigned based on similar location,NA,NA
280,2002-05-25,NA,NA,63.5,direct sunlight,1300,2,25,4,47,mainchannel branch,NA,assigned based on similar location,NA,NA
281,2002-05-30,NA,NA,70,direct sunlight,0,2,25,4,83,mainchannel,NA,assigned based on similar location,NA,NA
282,2002-05-30,NA,NA,85,direct sunlight,0,2,25,4,131,mainchannel branch,NA,assigned based on similar location,NA,NA
283,2002-05-20,NA,NA,12,precipitation,600,2,25,4,45,mainchannel,NA,assigned based on similar location,NA,NA
285,2002-08-20,NA,NA,62,direct sunlight,700,2,25,4,17,sidechannel,NA,assigned based on similar location,NA,NA
286,2002-08-20,NA,NA,62,direct sunlight,700,2,25,4,21,sidechannel,NA,assigned based on similar location,NA,NA
185,2002-07-17,NA,NA,0,direct sunlight,600,3,25,4,40,mainchannel,NA,assigned based on similar location,NA,NA
287,2002-07-23,NA,NA,64,direct sunlight,600,2,25,4,42,mainchannel,NA,assigned based on similar location,NA,NA
288,2002-08-14,NA,NA,68,direct sunlight,0,0,25,4,67,mainchannel branch,NA,assigned based on similar location,NA,NA
289,2002-08-19,NA,NA,58.5,direct sunlight,700,1,25,4,66,mainchannel,NA,assigned based on similar location,NA,NA
